Index,氏名,個人DATA,試合数,チーム,背番号,ポジション,利き腕,走,S1,S2,バント,HR,2H+,2H,3H,1H*,1H+,1H,Fa,BS,BB,KS,K,ﾀﾌﾈｽ,特徴,備考,守備１,守備２,守備３,守備４,守備５,守備６,守備７,グレード,コントロール,三振,被本塁打,スタミナ,登板間隔
17,島田　海吏,96.02.06生 28試 率.129 0本,28,25 Tigers,53,外野手,右投左打,F,4,58,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,07 06 06 05 04,12 11 10 08 07,23 21 18 15 12,27 24 21 18 14,51,60 59 57 55 53,100,93 89 85 81 77,D,,,OF=2, , , , , , ,,,,,,
18,小野寺　暖,98.03.17生 19試 率.241 0本,19,25 Tigers,60,外野手,右投右打,-,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,04 03 03 ** 02,08 07 07 06 05,14 12 10 09 07,23 21 18 15 13,28 24 21 18 15,51,57 55 54 53 52,100,86 78 71 63 56,E,,,1B=2,OF=2, , , , , ,,,,,,
19,植田　海,96.04.19生 42試 率.059 0本,42,25 Tigers,62,内野手,右投左右打,F,4,64,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,05 04 03 03 **,08 07 07 06 05,13 11 10 08 07,21 18 16 14 11,25 22 20 17 14,51,58 57 56 54 53,100,86 78 70 63 55,D,,,2B=1,OF=2, , , , , ,,,,,,
20,原口　文仁,92.03.03生 16試 率.063 0本,16,25 Tigers,94,内野手,右投右打,S,2,25,2,01 01 01 00 00,02 ** ** 01 01,03 02 02 02 02,** ** ** ** **,07 06 06 05 04,12 11 09 08 06,21 19 16 14 11,25 23 20 17 14,51,58 56 55 54 53,100,88 81 75 68 61,E,,,C=3(T:10),1B=2, , , , , ,,,,,,
21,富田　蓮,01.09.06生 9試1勝0敗0S 防率3.09,9,25 Tigers,50,投手,左投左打,-,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 04 03 03,10 09 07 06 05,13 11 10 08 07,31,33 32 32 31 31,100,62 57 51 45 40,E,WP,,P=5,,,,,,,G=2.4,C=4.0,K=1,HR=*,S=4,I=7.5
22,畠　世周,94.05.31生 12試0勝0敗0S 防率0.00,12,25 Tigers,36,投手,右投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,E,,,P=3,,,,,,,G=4.0,C=3.7,K=1,HR=-,S=2,I=4.0
23,島本　浩也,93.02.14生 16試2勝1敗0S 防率1.88,16,25 Tigers,46,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,D,,,P=4,,,,,,,G=2.2,C=3.1,K=0,HR=-,S=2,I=4.0
24,ドリス,88.01.10生 20試2勝2敗0S 防率1.93,20,25 Tigers,85,投手,右投右打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 04 03 03,10 09 08 06 05,13 12 10 08 07,31,33 33 32 31 31,100,63 57 52 46 40,D,,外国人,P=4,,,,,,,G=3.0,C=4.0,K=2,HR=-,S=2,I=3.5
25,工藤　泰成,01.11.19生 18試0勝2敗0S 防率3.31,18,25 Tigers,24,投手,右投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,D,WP,新人,P=4,,,,,,,G=3.0,C=0.5,K=2,HR=*,S=2,I=4.0
26,岩貞　祐太,91.09.05生 29試3勝1敗0S 防率2.12,29,25 Tigers,14,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,D,WP,,P=4,,,,,,,G=1.8,C=3.9,K=2,HR=*,S=2,I=2.5
27,ネルソン,95.12.05生 23試2勝1敗0S 防率1.93,23,25 Tigers,42,投手,右投右打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 04 03 02,09 08 07 06 05,12 11 09 08 07,31,35 34 33 32 31,100,62 57 51 45 40,D,WP,外国人,P=5,,,,,,,G=2.8,C=3.6,K=2,HR=-,S=2,I=3.0
28,湯浅　京己,99.07.17生 40試4勝4敗0S 防率2.52,40,25 Tigers,65,投手,右投右打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 04 03 03,10 09 08 06 05,13 12 10 08 07,31,33 33 32 31 31,100,63 57 52 46 40,C,WP,,P=5,,,,,,,G=2.8,C=2.4,K=2,HR=*,S=2,I=1.5
29,桐敷　拓馬,99.06.20生 43試2勝1敗1S 防率2.84,43,25 Tigers,47,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,C,,,P=5,,,,,,,G=1.7,C=3.2,K=3,HR=*,S=2,I=1.5
30,_橋　遥人,95.11.07生 8試3勝1敗0S 防率2.28,8,25 Tigers,29,投手,左投左打,-,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,12 11 09 08 07,15 14 12 10 08,31,34 33 33 32 31,100,64 58 52 46 40,B,,7/15より使用可能,P=5,,,,,,,G=2.8,C=3.5,K=4,HR=-,S=6,I=5.5
31,門別　啓人,04.07.10生 12試2勝3敗0S 防率4.43,12,25 Tigers,30,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 01 01,05 04 03 03 02,08 08 07 06 05,12 11 09 08 06,31,32 32 32 31 31,100,66 60 53 47 40,D,,準新人,P=4,,,,,,,G=0.1,C=0.9,K=1,HR=-,S=5,I=7.5
32,岩崎　優,91.06.19生 53試1勝3敗31S 防率2.10,53,25 Tigers,13,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,B,,,P=5,,,,,,,G=2.4,C=3.1,K=2,HR=*,S=2,I=1.0
33,石井　大智,97.07.29生 53試1勝0敗9S 防率0.17,53,25 Tigers,69,投手,右投右打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 04 03 03,10 09 07 06 05,13 11 10 08 07,31,33 32 32 31 31,100,65 58 52 46 40,B,WP,,P=4,,,,,,,G=6.2,C=4.0,K=3,HR=*,S=2,I=1.0
34,及川　雅貴,01.04.18生 66試6勝3敗1S 防率0.87,66,25 Tigers,37,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 01,05 05 04 03 03,10 09 08 07 06,14 12 10 09 07,31,33 33 32 31 31,100,63 57 52 46 40,A,BK,,P=5,,,,,,,G=5.6,C=2.3,K=4,HR=-,S=2,I=0.5
35,伊藤　将司,96.05.08生 14試4勝3敗0S 防率3.07,14,25 Tigers,27,投手,左投左打,S,2,25,3,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 04 03 02,10 09 07 06 05,13 11 10 08 07,31,32 31 31 31 **,100,57 52 48 44 40,B,負傷45(WP),,P=6,,,,,,,G=1.3,C=4.0,K=1,HR=-,S=7,I=6.0
36,デュプランティエ,94.07.11生 15試6勝3敗0S 防率1.39,15,25 Tigers,20,投手,右投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,02 02 02 01 01,05 04 03 03 02,08 08 07 06 05,12 11 09 08 06,31,32 32 31 31 31,100,56 52 48 44 40,B,負傷45(WP),外国人,P=3,,,,,,,G=4.9,C=2.1,K=4,HR=*,S=7,I=6.0
37,大竹耕太郎,95.06.29生 16試9勝4敗0S 防率2.85,16,25 Tigers,49,投手,左投左打,S,2,25,3,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,05 05 04 04 03,10 09 07 06 05,19 16 14 12 10,21 19 17 14 12,31,32 32 32 31 31,100,67 60 53 47 40,B,WP,5/1より使用可能,P=5,,,,,,,G=1.4,C=4.0,K=1,HR=-,S=7,I=6.0
38,伊原　陵人,00.08.07生 28試5勝7敗0S 防率2.29,28,25 Tigers,18,投手,左投左打,S,2,25,2,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 03 03 02 02,07 06 05 04 04,14 12 10 09 07,16 15 13 11 09,31,32 32 31 31 31,100,79 69 60 50 41,B,BK,新人,P=4,,,,,,,G=2.5,C=2.9,K=2,HR=-,S=5,I=4.0
39,才木　浩人,98.11.07生 24試12勝6敗0S 防率1.55,24,25 Tigers,35,投手,右投右打,S,2,25,3,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,03 02 02 02 01,04 04 03 03 02,08 07 06 05 04,11 10 08 07 06,31,38 37 36 34 33,100,57 52 48 44 40,A,WP,,P=4,,,,,,,G=4.2,C=2.4,K=2,HR=-,S=8,I=6.0
40,村上　頌樹,98.06.25生 26試14勝4敗0S 防率2.10,26,25 Tigers,41,投手,右投左打,S,2,25,3,00 00 00 00 00,** ** ** ** **,** ** ** ** **,** ** ** ** **,03 02 02 02 02,06 05 04 04 03,11 10 09 08 06,15 13 11 09 08,31,33 33 32 31 31,100,55 51 47 44 40,A,BK,,P=5,,,,,,,G=3.2,C=3.7,K=2,HR=-,S=8,I=5.0
41,佐野　恵太,94.11.28生 138試 率.274 15本,138,25 Baystars,7,外野手,右投左打,S,2,25,0,04 03 03 02 02,05 05 04 04 03,10 08 07 06 05,** ** ** ** **,16 14 12 10 08,22 20 17 14 12,34 30 27 23 19,41 37 32 27 22,51,60 59 57 55 53,100,96 93 90 87 84,S,DB,,1B=3,OF=3(L), , , , , ,,,,,,
42,桑原　将志,93.07.21生 106試 率.284 6本,106,25 Baystars,1,外野手,右投右打,F,4,74,3,02 02 01 01 01,03 03 03 02 02,07 06 05 04 04,** ** 06 05 **,14 12 11 09 07,20 18 16 13 11,33 29 26 22 18,36 32 28 24 20,51,64 61 59 57 54,100,94 91 87 84 80,B,IH,,OF=3(C), , , , , , ,,,,,,
43,蝦名　達夫,97.09.20生 115試 率.284 8本,115,25 Baystars,61,外野手,右投右打,F,4,63,2,03 02 02 02 01,05 04 04 03 03,10 08 07 06 05,** 09 ** ** **,15 14 12 10 08,21 18 16 14 11,32 29 25 21 17,42 37 33 28 23,51,66 63 61 58 55,100,92 88 84 79 75,A,IH,,OF=3, , , , , , ,,,,,,
44,牧　秀悟,98.04.21生 93試 率.277 16本,93,25 Baystars,2,内野手,右投右打,-,4,60,0,05 05 04 04 03,08 07 06 05 05,14 12 10 09 07,** ** ** ** **,19 17 14 12 10,24 21 18 15 13,34 30 26 22 19,38 34 29 25 21,51,58 57 56 54 53,100,91 86 81 76 71,S,負傷60(DB),,1B=2,2B=4, , , , , ,,,,,,
45,宮_　敏郎,88.12.12生 95試 率.277 6本,95,25 Baystars,51,内野手,右投右打,S,2,25,0,02 02 02 02 01,05 04 03 03 02,08 07 06 06 05,** ** 07 ** **,15 13 11 09 08,21 18 16 14 11,33 29 25 22 18,38 34 30 25 21,51,63 60 58 56 54,100,95 92 89 86 82,A,負傷45(DB),,3B=3, , , , , , ,,,,,,
46,山本　祐大,98.09.11生 104試 率.262 3本,104,25 Baystars,50,捕手,右投右打,S,2,25,2,01 01 01 01 00,03 03 03 02 02,08 07 06 06 05,09 08 07 ** **,15 13 11 09 08,20 18 16 13 11,31 28 24 20 17,42 37 33 28 23,51,58 57 55 54 53,100,95 92 89 86 83,B,DB,,C=5(T:-1), , , , , , ,,,,,,
47,度会　隆輝,02.10.04生 86試 率.241 6本,86,25 Baystars,4,外野手,右投左打,S,3,57,2,03 02 02 02 02,05 04 03 03 **,07 07 06 05 04,08 ** 07 06 05,14 12 11 09 08,20 17 15 13 10,31 27 23 20 16,36 32 28 24 20,51,63 61 58 56 54,100,95 92 89 85 82,B,負傷30(DB),,OF=3, , , , , , ,,,,,,
48,林　琢真,00.08.24生 95試 率.244 2本,95,25 Baystars,00,内野手,右投左打,F,5,70,3,01 01 01 01 00,03 02 02 02 02,07 06 05 04 03,** ** ** 05 04,13 12 10 08 07,19 17 14 12 10,31 27 24 20 16,40 35 31 26 21,51,59 58 56 55 53,100,91 86 81 76 72,B,IH,,2B=2,3B=1,SS=3, , , , ,,,,,,
49,筒香　嘉智,91.11.26生 75試 率.228 20本,75,25 Baystars,25,外野手,右投左打,S,2,25,0,10 09 08 06 05,12 11 09 08 06,16 14 12 11 09,** ** 13 ** **,19 17 15 12 10,21 19 16 14 12,27 24 20 17 14,30 27 23 20 16,51,67 65 62 59 56,100,89 82 76 70 64,A,負傷60,,3B=2,OF=2, , , , , ,,,,,,
50,オースティン,91.09.06生 65試 率.269 11本,65,25 Baystars,3,内野手,右投右打,S,2,25,0,06 06 05 04 03,08 08 07 06 05,14 13 11 09 08,** ** ** ** **,19 17 15 12 10,23 21 18 15 13,33 29 25 21 18,37 32 28 24 20,51,64 61 59 57 55,100,91 87 82 77 72,B,負傷60(DB),外国人,1B=3, , , , , , ,,,,,,
51,京田　陽太,94.04.20生 83試 率.216 1本,83,25 Baystars,9,内野手,右投左打,-,3,59,2,01 01 00 00 00,02 02 01 01 01,04 04 03 03 02,05 ** 04 ** **,11 09 08 07 06,16 15 13 11 09,29 25 22 19 15,34 31 27 23 19,51,58 56 55 54 52,100,88 81 74 68 61,B,DB,,1B=2,3B=1,SS=3, , , , ,,,,,,
52,松尾　汐恩,04.07.06生 77試 率.250 4本,77,25 Baystars,5,捕手,右投右打,S,3,59,2,03 02 02 02 01,04 04 03 03 02,07 06 06 05 04,** ** ** ** **,13 11 10 08 07,18 16 14 12 10,29 25 22 19 16,36 32 28 24 20,51,59 58 56 55 53,100,94 91 87 84 81,C,DB,,C=5(T:-3), , , , , , ,,,,,,
53,三森　大貴,99.02.21生 91試 率.213 0本,91,25 Baystars,26,内野手,右投左打,F,6,74,2,01 01 01 01 00,03 03 02 02 02,07 06 05 05 04,** ** ** ** **,12 11 10 08 07,17 16 14 12 10,29 26 22 19 16,34 30 26 22 19,51,60 59 57 55 53,100,92 87 83 78 73,B,IH,,1B=2,2B=1,3B=2,OF=2, , , ,,,,,,
54,梶原　昂希,99.09.19生 61試 率.245 2本,61,25 Baystars,58,外野手,右投左打,F,5,66,2,02 01 01 01 01,04 03 03 03 02,08 07 06 06 05,10 08 07 ** **,16 14 12 10 08,22 19 17 14 12,34 30 27 23 19,39 35 30 25 21,51,55 54 53 52 51,100,86 79 71 64 56,C,負傷30(IH),,OF=3, , , , , , ,,,,,,
55,石上　泰輝,01.05.18生 73試 率.241 2本,73,25 Baystars,44,内野手,右投左打,F,4,62,2,02 02 01 01 01,04 04 03 03 02,09 08 07 06 05,** ** ** ** **,14 12 11 09 07,19 16 14 12 10,28 25 21 18 15,31 28 24 21 17,51,61 59 58 56 54,100,88 82 76 69 63,C,IH,,2B=1,3B=2,SS=4, , , , ,,,,,,
56,戸柱　恭孝,90.04.11生 45試 率.242 2本,45,25 Baystars,10,捕手,右投左打,S,2,25,2,01 01 01 00 00,02 02 02 02 01,06 05 04 04 03,** ** ** ** **,11 10 09 08 06,17 15 13 11 10,29 25 22 19 16,36 32 28 24 19,51,57 56 55 53 52,100,93 88 84 80 76,D,,,C=4(T:-3), , , , , , ,,,,,,
57,ビシエド,89.03.10生 43試 率.259 2本,43,25 Baystars,66,内野手,右投右打,S,2,25,2,02 02 01 01 01,03 03 03 02 02,06 06 05 04 03,** ** ** ** **,11 10 09 08 06,17 15 13 11 09,28 24 21 18 15,34 30 26 22 19,51,60 59 57 55 53,100,95 92 88 85 82,D,DB,外国人,1B=3, , , , , , ,,,,,,
58,森　敬斗,02.01.28生 28試 率.153 0本,28,25 Baystars,6,内野手,右投左打,F,3,56,2,00 00 00 00 00,01 01 01 01 01,04 03 03 03 02,05 04 04 ** **,10 09 08 06 05,15 13 12 10 08,25 22 19 17 14,32 29 25 21 17,51,57 56 54 53 52,100,91 85 80 75 69,D,,,SS=2, , , , , , ,,,,,,
59,フォード,92.07.04生 25試 率.196 0本,25,25 Baystars,99,内野手,右投左打,S,2,25,2,01 01 01 01 00,02 02 ** ** 01,04 03 03 02 02,** ** ** ** **,08 08 07 06 05,14 12 11 09 07,24 21 19 16 13,29 26 22 19 16,51,62 60 58 56 54,100,91 86 81 76 70,E,,外国人,1B=2, , , , , , ,,,,,,
60,柴田　竜拓,93.12.16生 70試 率.091 0本,70,25 Baystars,31,内野手,右投左打,F,3,59,3,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,07 06 05 04 04,12 10 09 08 06,22 20 17 14 12,27 24 21 18 14,51,66 63 60 58 55,100,90 84 78 72 67,C,,,2B=1,3B=2,SS=1, , , , ,,,,,,
61,神里　和毅,94.01.17生 62試 率.308 0本,62,25 Baystars,8,外野手,右投左打,F,4,63,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,06 05 04 04 03,11 10 08 07 06,16 14 12 11 09,27 24 20 17 14,32 28 24 21 17,51,59 57 56 54 53,100,86 79 71 64 57,C,,,OF=3, , , , , , ,,,,,,
62,堀岡　隼人,98.09.11生 13試0勝0敗0S 防率3.46,13,25 Baystars,92,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,11 09 08 07 06,14 12 11 09 07,31,37 36 35 33 32,100,60 56 50 45 40,E,,,P=5,,,,,,,G=0.4,C=2.9,K=3,HR=-,S=2,I=4.0
63,山_　康晃,92.10.02生 17試0勝3敗1S 防率4.20,17,25 Baystars,19,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,11 09 08 07 06,14 12 11 09 07,31,37 36 35 33 32,100,60 56 50 45 40,D,,,P=4,,,,,,,G=0.4,C=2.7,K=2,HR=**,S=2,I=4.0
64,佐々木千隼,94.06.08生 20試2勝1敗0S 防率4.15,20,25 Baystars,41,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,10 09 08 07 06,14 12 10 09 07,31,37 36 35 33 32,100,62 56 51 45 40,D,,,P=4,,,,,,,G=2.6,C=1.5,K=2,HR=-,S=2,I=3.5
65,颯,98.10.10生 27試0勝1敗0S 防率1.93,27,25 Baystars,53,投手,右投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,04 03 03 03 02,07 06 05 05 04,13 11 10 08 07,16 14 12 10 09,31,37 36 35 33 32,100,62 57 51 46 40,D,,,P=5,,,,,,,G=1.6,C=2.7,K=1,HR=-,S=2,I=2.5
66,中川　虎大,99.10.02生 30試0勝1敗1S 防率3.16,30,25 Baystars,64,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 03 02 02,06 05 04 04 03,11 09 08 07 06,14 12 11 09 07,31,37 36 35 33 32,100,60 56 50 45 40,D,WP,,P=4,,,,,,,G=1.8,C=3.3,K=3,HR=-,S=2,I=2.5
67,森原　康平,91.12.26生 30試0勝2敗0S 防率2.57,30,25 Baystars,45,投手,右投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,04 03 03 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,60 56 50 45 40,B,負傷60,4/17より使用可能,P=5,,,,,,,G=2.6,C=4.0,K=3,HR=-,S=2,I=1.0
68,坂本　裕哉,97.07.28生 35試4勝1敗0S 防率3.16,35,25 Baystars,20,投手,左投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,04 03 03 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,60 56 50 45 40,C,WP,,P=4,,,,,,,G=1.6,C=2.9,K=2,HR=-,S=2,I=1.5
69,竹田　祐,99.07.05生 6試4勝1敗0S 防率1.69,6,25 Baystars,12,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 01 01 **,** ** ** ** **,03 03 02 02 02,05 05 04 03 03,10 08 07 06 05,12 11 10 08 07,31,38 36 35 34 33,100,56 52 47 44 40,A,,8/16より使用可能、新人,P=3,,,,,,,G=3.5,C=3.5,K=2,HR=-,S=7,I=5.0
